epoch,train_loss,train_acc,train_yield_rmse,val_loss,val_acc,val_yield_rmse,lr,elapsed_s
1,1.12656,99.796,3.5179,1.00028,99.692,3.0146,5.44e-05,553.6
2,1.12328,99.871,3.5183,1.00684,99.712,3.0619,3.96e-05,184.9
3,1.1207,99.905,3.5205,1.00044,99.763,3.0379,2.14e-05,220.9
4,1.1158,99.944,3.4722,0.99671,99.788,3.0133,6.63e-06,230.0
5,1.11508,99.962,3.4875,0.99577,99.813,2.9751,1.00e-06,217.1
